"No.","Time","Source","Destination","Protocol","Length","Info"
"101","2016-09-26 23:00:22.123549","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"104","2016-09-26 23:00:22.427169","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=42 Ack=42 Win=1369 Len=0"
"262","2016-09-26 23:00:52.105474","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=42 Ack=83 Win=1369 Len=0"
"263","2016-09-26 23:00:52.105583","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"391","2016-09-26 23:01:22.132501","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"397","2016-09-26 23:01:22.397448","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=124 Ack=124 Win=1369 Len=0"
"533","2016-09-26 23:01:52.101566","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=124 Ack=165 Win=1369 Len=0"
"534","2016-09-26 23:01:52.101677","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"655","2016-09-26 23:02:22.129100","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"660","2016-09-26 23:02:22.608191","192.168.1.240","54.239.29.231","TLSv1.2","95","[TCP Spurious Retransmission] , Application Data"
"663","2016-09-26 23:02:23.056811","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=206 Ack=206 Win=1369 Len=0"
"799","2016-09-26 23:02:52.097803","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=206 Ack=247 Win=1369 Len=0"
"800","2016-09-26 23:02:52.097917","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"926","2016-09-26 23:03:22.125635","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"931","2016-09-26 23:03:22.397110","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=288 Ack=288 Win=1369 Len=0"
"1080","2016-09-26 23:03:46.774209","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=288 Ack=659 Win=1552 Len=0"
