"No.","Time","Source","Destination","Protocol","Length","Info"
"12","2016-09-26 23:00:04.267860","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"51","2016-09-26 23:00:12.954988","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"146","2016-09-26 23:00:31.295979","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"148","2016-09-26 23:00:33.393100","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"187","2016-09-26 23:00:39.976549","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"283","2016-09-26 23:00:58.323481","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"328","2016-09-26 23:01:07.003884","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"406","2016-09-26 23:01:25.351110","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"441","2016-09-26 23:01:34.030267","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"538","2016-09-26 23:01:52.378195","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"539","2016-09-26 23:01:52.624261","192.168.1.240","204.11.201.12","NTP","90","NTP Version 4, client"
"573","2016-09-26 23:02:01.057051","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"644","2016-09-26 23:02:19.405360","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"678","2016-09-26 23:02:28.082433","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"770","2016-09-26 23:02:46.432587","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"813","2016-09-26 23:02:55.108149","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"887","2016-09-26 23:03:13.458539","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"927","2016-09-26 23:03:22.134449","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1045","2016-09-26 23:03:40.484215","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1081","2016-09-26 23:03:46.796290","192.168.1.240","239.255.255.250","SSDP","163","M-SEARCH * HTTP/1.1 "
"1083","2016-09-26 23:03:46.897616","192.168.1.240","239.255.255.250","SSDP","163","M-SEARCH * HTTP/1.1 "
"1087","2016-09-26 23:03:47.006438","192.168.1.240","239.255.255.250","SSDP","148","M-SEARCH * HTTP/1.1 "
"1088","2016-09-26 23:03:47.107761","192.168.1.240","239.255.255.250","SSDP","148","M-SEARCH * HTTP/1.1 "
"1094","2016-09-26 23:03:47.501918","192.168.1.240","192.168.1.1","DNS","75","Standard query 0xb58a A www.meethue.com"
"1123","2016-09-26 23:03:49.160628","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1207","2016-09-26 23:04:07.510806","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1246","2016-09-26 23:04:16.187762","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1329","2016-09-26 23:04:34.535243","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1383","2016-09-26 23:04:43.212574","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1445","2016-09-26 23:04:46.901283","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x471b A www.example.com"
"1446","2016-09-26 23:04:46.901451","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x0131 AAAA www.example.com"
"1454","2016-09-26 23:04:47.064038","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x61e1 A www.example.net"
"1455","2016-09-26 23:04:47.064189","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x35bd AAAA www.example.net"
"1464","2016-09-26 23:04:47.227838","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x6161 A www.example.org"
"1465","2016-09-26 23:04:47.227984","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x35bd AAAA www.example.org"
"1556","2016-09-26 23:05:01.560448","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"1586","2016-09-26 23:05:10.238076","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"1694","2016-09-26 23:05:28.584326","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
