"No.","Time","Source","Destination","Protocol","Length","Info"
"17","2016-10-07 22:00:04.319458","192.168.1.196","52.1.40.122","TCP","60","[TCP segment of a reassembled PDU]"
"26","2016-10-07 22:00:06.321083","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"32","2016-10-07 22:00:06.538848","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=71 Ack=70 Win=3072 Len=0"
"103","2016-10-07 22:00:16.524519","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"128","2016-10-07 22:00:26.726386","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"187","2016-10-07 22:00:31.949272","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"226","2016-10-07 22:00:36.928576","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"333","2016-10-07 22:00:47.130650","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"376","2016-10-07 22:00:57.333073","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"416","2016-10-07 22:01:05.239632","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"420","2016-10-07 22:01:05.462841","192.168.1.196","52.1.40.122","TCP","60","2179  >  443 [ACK] Seq=140 Ack=139 Win=3072 Len=0"
"453","2016-10-07 22:01:10.459258","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"498","2016-10-07 22:01:15.448955","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 2179  >  443 [ACK] Seq=139 Ack=139 Win=3072 Len=1"
"531","2016-10-07 22:01:23.813573","192.168.1.196","52.1.40.122","TLSv1.2","139","Application Data"
