"No.","average","variance","class"
0,102,3917.0,label
1,89,754.4651162790698,label
2,131,3186.0,label
3,104,4541.166666666667,label
4,109,3374.285714285714,label
5,109,3374.285714285714,label
6,116,4522.2,label
7,112,3866.5,label
8,125,4234.0,label
9,135,3913.25,label
10,206,102354.04545454546,label
11,90,777.6,label
12,105,3757.3,label
13,116,4522.2,label
14,109,3374.285714285714,label
15,116,4522.2,label
16,120,3063.8333333333335,label
17,111,2744.375,label
18,148,3822.4,label
19,126,3458.2,label
20,135,3913.25,label
21,132,34129.7012987013,label
22,131,3426.714285714286,label
23,127,3389.8,label
24,128,3335.5833333333335,label
25,138,11449.433333333332,label
26,114,2617.4545454545455,label
27,94,1175.7391304347825,label
28,122,3621.625,label
29,130,3240.5714285714284,label
30,118,3730.0,label
31,116,3385.1666666666665,label
32,109,2485.3333333333335,label
33,116,4522.2,label
34,126,3458.2,label
35,135,3913.25,label
36,132,41762.35593220339,label
37,135,3913.25,label
38,135,3913.25,label
39,123,4075.285714285714,label
40,135,3913.25,label
41,109,3374.285714285714,label
42,111,3135.8571428571427,label
43,135,3913.25,label
44,126,3458.2,label
45,139,3581.5,label
46,87,476.3076923076923,label
47,127,3964.8571428571427,label
48,146,3628.0,label
49,135,3913.25,label
50,126,3458.2,label
51,127,3389.8,label
52,112,3314.285714285714,label
53,112,3866.5,label
54,127,3964.8571428571427,label
55,112,3866.5,label
56,89,772.4047619047619,label
57,129,4537.0,label
58,116,4522.2,label
59,116,4522.2,label
60,114,4169.272727272727,label
61,117,3323.4166666666665,label
62,125,3938.4166666666665,label
63,130,38273.95384615385,label
64,135,3913.25,label
65,135,3913.25,label
66,142,3359.5,label
67,112,3866.5,label
68,126,3458.2,label
69,137,3465.0,label
70,89,772.4047619047619,label
71,127,3389.8,label
72,135,3913.25,label
73,116,4522.2,label
74,142,3905.6666666666665,label
75,130,3680.6666666666665,label
76,132,3490.818181818182,label
77,94,1175.891304347826,label
78,122,3621.625,label
79,120,3549.7272727272725,label
80,128,3339.5,label
81,139,3382.375,label
82,125,3767.1428571428573,label
83,136,40949.16393442623,label
84,135,3913.25,label
85,137,3719.0,label
86,135,3913.25,label
87,120,4272.916666666667,label
88,94,1201.6666666666667,label
89,111,3473.6923076923076,label
90,128,4172.272727272727,label
91,112,3866.5,label
92,126,3920.714285714286,label
93,126,3458.2,label
94,126,3458.2,label
95,112,3866.5,label
96,89,754.4651162790698,label
97,120,3063.8333333333335,label
98,119,3294.5555555555557,label
99,116,4522.2,label
100,131,4297.1,label
101,115,3569.0,label
102,135,3913.25,label
103,135,3913.25,label
104,126,3458.2,label
105,135,44419.527272727275,label
106,122,3621.625,label
107,126,3458.2,label
108,127,3389.8,label
109,146,3628.0,label
110,127,3389.8,label
111,104,2905.1111111111113,label
112,116,4522.2,label
113,109,4571.363636363636,label
114,92,1012.0454545454545,label
115,112,3866.5,label
116,112,3866.5,label
117,129,4537.0,label
118,112,3866.5,label
119,116,4522.2,label
120,126,3458.2,label
121,129,4821.166666666667,label
122,97,2508.4,label
123,126,3458.2,label
124,89,814.3658536585366,label
125,120,3063.8333333333335,label
126,126,3458.2,label
127,112,3866.5,label
128,135,3913.25,label
129,116,4522.2,label
130,116,3770.0,label
131,135,3913.25,label
132,148,3822.4,label
133,135,3913.25,label
134,133,43000.754385964916,label
135,123,4075.285714285714,label
136,112,3866.5,label
137,126,3458.2,label
138,99,3791.4,label
139,132,32221.98780487805,label
140,116,4522.2,label
141,112,3866.5,label
142,117,3904.909090909091,label
143,126,9356.4,label
144,92,999.8222222222222,label
145,125,3184.769230769231,label
146,119,3324.0,label
147,118,3687.625,label
148,120,3040.9166666666665,label
149,131,3758.153846153846,label
150,89,772.4047619047619,label
151,135,3913.25,label
152,135,3913.25,label
153,110,3169.1428571428573,label
154,219,110868.2,label
155,148,3822.4,label
156,126,3458.2,label
157,135,3913.25,label
158,126,3458.2,label
159,146,3628.0,label
160,90,766.3720930232558,label
161,135,3913.25,label
162,135,3913.25,label
163,135,3913.25,label
164,135,3913.25,label
165,148,3822.4,label
166,126,3458.2,label
167,116,2704.0,label
168,133,3245.3333333333335,label
169,91,933.6170212765958,label
170,126,3458.2,label
171,139,3382.375,label
172,126,3458.2,label
173,126,3458.2,label
174,130,3680.6666666666665,label
175,90,748.9545454545455,label
176,135,3913.25,label
177,135,3913.25,label
178,138,3692.0,label
179,236,113527.15789473684,label
180,135,3913.25,label
181,116,4816.0,label
182,112,3866.5,label
183,110,3604.153846153846,label
184,93,1160.25,label
185,137,3763.5,label
186,127,4049.090909090909,label
187,130,3680.6666666666665,label
188,124,3676.9,label
189,90,748.9545454545455,label
190,116,3043.8,label
191,135,3913.25,label
192,141,3785.5555555555557,label
193,135,3913.25,label
194,130,3680.6666666666665,label
195,94,1201.6666666666667,label
196,115,3659.0,label
197,205,98177.47826086957,label
198,135,3913.25,label
199,138,3659.3333333333335,label
200,121,3436.375,label
201,138,3659.3333333333335,label
202,93,1121.92,label
203,121,2801.0,label
204,120,3063.8333333333335,label
205,122,3252.909090909091,label
206,126,3458.2,label
207,133,3245.3333333333335,label
208,122,3621.625,label
209,94,1356.1,label
210,124,4281.142857142857,label
211,107,3603.2,label
212,109,4571.363636363636,label
213,120,3976.3076923076924,label
214,93,1190.8958333333333,label
215,118,3503.5,label
216,208,93232.79166666667,label
217,142,3905.6666666666665,label
218,137,3465.0,label
219,135,3913.25,label
220,92,1012.0454545454545,label
221,118,3123.3333333333335,label
222,126,3424.7,label
223,137,3719.0,label
224,129,3840.2727272727275,label
225,94,1183.391304347826,label
226,111,3135.8571428571427,label
227,135,3913.25,label
228,131,3426.714285714286,label
229,123,3805.1,label
230,141,3785.5555555555557,label
231,138,3659.3333333333335,label
232,93,1388.08,label
233,105,3340.0,label
234,212,92612.16666666667,label
235,131,4297.1,label
236,135,34780.82666666667,label
237,128,3339.5,label
238,137,10387.454545454546,label
239,117,3002.3,label
240,132,3441.818181818182,label
241,94,1228.6136363636363,label
242,194,91560.69565217392,label
243,142,3905.6666666666665,label
244,126,3458.2,label
245,136,3645.1,label
246,94,1228.6136363636363,label
247,112,3108.1428571428573,label
248,114,3060.1428571428573,label
249,138,3659.3333333333335,label
250,126,3458.2,label
251,147,22522.5,label
252,239,123423.5625,label
253,135,3913.25,label
254,126,3458.2,label
255,112,3677.0,label
256,90,758.6341463414634,label
257,111,3135.8571428571427,label
258,148,3822.4,label
259,140,2550.5,label
260,120,3263.8888888888887,label
261,146,3628.0,label
262,126,3458.2,label
263,126,3458.2,label
264,126,3458.2,label
265,126,3458.2,label
266,90,777.6,label
267,122,3621.625,label
268,124,2906.0,label
269,135,3913.25,label
270,137,3465.0,label
271,135,3913.25,label
272,126,3458.2,label
273,126,3458.2,label
274,135,3913.25,label
275,126,3458.2,label
276,95,1424.9787234042553,label
277,141,3785.5555555555557,label
278,131,3426.714285714286,label
279,187,82493.85714285714,label
280,121,3436.375,label
281,119,4215.7,label
282,93,1144.734693877551,label
283,135,3913.25,label
284,130,3680.6666666666665,label
285,126,3458.2,label
286,139,3382.375,label
287,91,999.5434782608696,label
288,137,3465.0,label
289,135,3913.25,label
290,135,3913.25,label
291,135,3913.25,label
292,135,3913.25,label
293,108,2794.5,label
294,112,3866.5,label
295,138,3659.3333333333335,label
296,112,3866.5,label
297,89,772.4047619047619,label
298,130,3228.0,label
299,115,4003.2727272727275,label
300,205,90047.24,label
301,121,4013.2,label
302,93,1233.891304347826,label
303,126,3458.2,label
304,126,3610.0833333333335,label
305,142,3905.6666666666665,label
306,136,3645.1,label
307,94,1228.6136363636363,label
308,109,2773.375,label
309,128,3339.5,label
310,126,3754.6666666666665,label
311,126,3458.2,label
312,141,3785.5555555555557,label
313,93,1184.7446808510638,label
314,116,3481.1666666666665,label
315,146,3471.5714285714284,label
316,183,82930.14285714286,label
317,114,3567.9333333333334,label
318,94,1175.891304347826,label
319,118,3421.25,label
320,126,3458.2,label
321,126,31221.717647058824,label
322,129,3447.0833333333335,label
323,133,3245.3333333333335,label
324,117,3152.4444444444443,label
325,135,3913.25,label
326,132,9713.472222222223,label
327,95,1346.7450980392157,label
328,137,3465.0,label
329,135,3913.25,label
330,127,3852.3571428571427,label
331,91,1287.4375,label
332,196,84786.03703703704,label
333,128,4229.615384615385,label
334,114,4169.272727272727,label
335,124,4281.142857142857,label
336,113,4291.0,label
337,89,772.4047619047619,label
338,122,3621.625,label
339,131,4297.1,label
340,124,4281.142857142857,label
341,115,4064.875,label
342,130,3795.3333333333335,label
343,115,3659.0,label
344,93,1160.1458333333333,label
345,136,3645.1,label
346,120,3524.7272727272725,label
347,130,3680.6666666666665,label
348,126,3754.6666666666665,label
349,131,40395.360655737706,label
350,128,4229.615384615385,label
351,115,4003.2727272727275,label
352,135,3470.090909090909,label
353,120,3524.7272727272725,label
354,94,1411.9375,label
355,112,3866.5,label
356,124,4338.0,label
357,132,4425.1,label
358,112,3866.5,label
359,135,3913.25,label
360,137,3465.0,label
361,87,532.2051282051282,label
362,121,3436.375,label
363,120,3063.8333333333335,label
364,112,3866.5,label
365,126,3458.2,label
366,112,3866.5,label
367,139,3382.375,label
368,118,2995.0,label
369,95,1436.5652173913043,label
370,182,80367.58620689655,label
371,146,3471.5714285714284,label
372,127,3964.8571428571427,label
373,115,3430.8,label
374,112,3866.5,label
375,90,1263.6,label
376,116,4522.2,label
377,142,3905.6666666666665,label
378,129,3935.181818181818,label
379,131,3426.714285714286,label
380,93,1160.25,label
381,104,3034.25,label
382,146,3471.5714285714284,label
383,130,3680.6666666666665,label
384,130,3680.6666666666665,label
385,126,3458.2,label
386,131,39217.42857142857,label
387,116,3067.3,label
388,125,3013.0,label
389,115,3104.3846153846152,label
390,126,3458.2,label
391,136,3074.0,label
392,93,1136.7551020408164,label
393,119,3324.0,label
394,133,4223.875,label
395,117,3624.0714285714284,label
396,135,3913.25,label
397,109,2773.375,label
398,136,36126.02777777778,label
399,112,3184.6,label
