"No.","average","variance","class"
0,124,4338.0,label
1,126,3424.7,label
2,141,3785.5555555555557,label
3,133,10006.857142857143,label
4,93,1160.5416666666667,label
5,195,81170.78571428571,label
6,132,3490.818181818182,label
7,120,3443.818181818182,label
8,113,3475.2,label
9,92,964.7727272727273,label
10,121,3384.1428571428573,label
11,123,3426.769230769231,label
12,112,3866.5,label
13,135,3913.25,label
14,135,3913.25,label
15,115,3569.0,label
16,135,3913.25,label
17,92,1035.4883720930231,label
18,135,3913.25,label
19,135,3913.25,label
20,130,3240.5714285714284,label
21,126,3458.2,label
22,121,3017.0,label
23,126,3458.2,label
24,135,3913.25,label
25,109,2773.375,label
26,135,3216.8571428571427,label
27,93,1184.7446808510638,label
28,212,100848.59090909091,label
29,113,3526.3333333333335,label
30,122,3252.909090909091,label
31,116,3481.1666666666665,label
32,110,3256.5,label
33,91,999.5434782608696,label
34,122,3252.909090909091,label
35,127,4049.090909090909,label
36,128,3938.3333333333335,label
37,127,3964.8571428571427,label
38,122,3467.6363636363635,label
39,95,1382.0,label
40,130,3680.6666666666665,label
41,130,3680.6666666666665,label
42,109,2773.375,label
43,148,3822.4,label
44,135,3913.25,label
45,146,3628.0,label
46,87,532.2051282051282,label
47,125,3767.1428571428573,label
48,241,118511.22222222222,label
49,108,4075.8333333333335,label
50,131,3426.714285714286,label
51,110,3244.0,label
52,130,3639.0,label
53,93,1417.6,label
54,124,4338.0,label
55,113,3720.0833333333335,label
56,128,4172.272727272727,label
57,136,3645.1,label
58,94,1228.6136363636363,label
59,120,3524.7272727272725,label
60,123,3224.3636363636365,label
61,148,3822.4,label
62,121,2801.0,label
63,130,3680.6666666666665,label
64,119,2632.4285714285716,label
65,93,1160.25,label
66,191,85277.77777777778,label
67,117,2668.8571428571427,label
68,126,3458.2,label
69,137,3465.0,label
70,120,3063.8333333333335,label
71,126,3458.2,label
72,135,3913.25,label
73,89,772.4047619047619,label
74,127,3389.8,label
75,148,3822.4,label
76,127,3389.8,label
77,136,3645.1,label
78,103,4198.0,label
79,114,3013.714285714286,label
80,92,1503.22,label
81,121,3984.7,label
82,120,4272.916666666667,label
83,135,3913.25,label
84,116,4522.2,label
85,110,3162.714285714286,label
86,126,3458.2,label
87,92,1035.4883720930231,label
88,135,3913.25,label
89,229,114627.1052631579,label
90,129,4537.0,label
91,115,3569.0,label
92,112,3866.5,label
93,135,3913.25,label
94,135,3913.25,label
95,126,3458.2,label
96,129,3036.375,label
97,89,772.4047619047619,label
98,135,3913.25,label
99,134,34322.13157894737,label
100,141,3785.5555555555557,label
101,130,3680.6666666666665,label
102,146,3471.5714285714284,label
103,119,3324.0,label
104,94,1228.6136363636363,label
105,120,3705.3076923076924,label
106,135,3913.25,label
107,133,11060.774193548386,label
108,122,2934.1666666666665,label
109,135,3913.25,label
110,130,2972.75,label
111,126,3458.2,label
112,126,3458.2,label
113,131,41112.75,label
114,106,3514.8571428571427,label
115,121,3898.0,label
116,135,3913.25,label
117,116,4522.2,label
118,112,3866.5,label
119,127,3964.8571428571427,label
120,116,4522.2,label
121,126,3458.2,label
122,92,1236.1458333333333,label
123,115,4064.875,label
124,116,4522.2,label
