"No.","data_variance","data_average","class"
0,54.0,0.0,label
1,74.5,420.25,label
2,78.6,403.44000000000005,label
3,128.11111111111111,8794.320987654319,label
4,74.5,420.25,label
5,74.5,420.25,label
6,81.33333333333333,373.5555555555556,label
7,74.5,420.25,label
8,81.33333333333333,373.5555555555556,label
9,64.25,315.1875,label
10,74.5,420.25,label
11,83.28571428571429,343.06122448979596,label
12,64.25,315.1875,label
13,81.33333333333333,373.5555555555556,label
14,64.25,315.1875,label
15,74.5,420.25,label
16,74.5,420.25,label
17,78.6,403.44000000000005,label
18,83.28571428571429,343.06122448979596,label
19,64.25,315.1875,label
20,74.5,420.25,label
21,81.33333333333333,373.5555555555556,label
22,64.25,315.1875,label
23,81.33333333333333,373.5555555555556,label
24,64.25,315.1875,label
25,74.5,420.25,label
26,74.5,420.25,label
27,74.5,420.25,label
28,81.33333333333333,373.5555555555556,label
29,64.25,315.1875,label
30,74.5,420.25,label
31,74.5,420.25,label
32,83.28571428571429,343.06122448979596,label
33,64.25,315.1875,label
34,74.5,420.25,label
35,74.5,420.25,label
36,74.5,420.25,label
37,83.28571428571429,343.06122448979596,label
38,70.4,403.44000000000005,label
39,74.5,420.25,label
40,74.5,420.25,label
41,81.33333333333333,373.5555555555556,label
42,64.25,315.1875,label
43,74.5,420.25,label
44,74.5,420.25,label
45,78.6,403.44000000000005,label
46,78.6,403.44000000000005,label
47,74.5,420.25,label
48,74.5,420.25,label
49,74.5,420.25,label
50,78.6,403.44,label
51,102.0,3074.0,label
52,74.5,420.25,label
53,74.5,420.25,label
54,74.5,420.25,label
55,78.6,403.44000000000005,label
56,78.6,403.44000000000005,label
57,74.5,420.25,label
58,78.6,403.44000000000005,label
59,78.6,403.44000000000005,label
60,74.5,420.25,label
61,78.6,403.44000000000005,label
62,74.5,420.25,label
63,70.4,403.44000000000005,label
64,74.5,420.25,label
65,74.5,420.25,label
66,81.33333333333333,373.5555555555556,label
67,64.25,315.1875,label
68,74.5,420.25,label
69,74.5,420.25,label
70,72.83333333333333,365.8055555555556,label
71,246.45454545454547,98478.70247933884,label
72,124.6,7979.4400000000005,label
73,74.5,420.25,label
74,74.5,420.25,label
75,74.5,420.25,label
76,74.5,420.25,label
77,74.5,420.25,label
78,74.5,420.25,label
79,81.33333333333333,373.5555555555556,label
80,64.25,315.1875,label
81,74.5,420.25,label
82,81.33333333333333,373.5555555555556,label
83,64.25,315.1875,label
84,74.5,420.25,label
85,74.5,420.25,label
86,78.6,403.44000000000005,label
87,74.5,420.25,label
88,74.5,420.25,label
89,78.6,403.44000000000005,label
90,74.5,420.25,label
91,74.5,420.25,label
92,74.5,420.25,label
93,74.5,420.25,label
94,74.5,420.25,label
95,74.5,420.25,label
96,78.6,403.44000000000005,label
97,74.5,420.25,label
98,78.6,403.44000000000005,label
99,74.5,420.25,label
100,74.5,420.25,label
101,74.5,420.25,label
102,74.5,420.25,label
103,74.5,420.25,label
104,74.5,420.25,label
105,74.5,420.25,label
106,74.5,420.25,label
107,81.33333333333333,373.5555555555556,label
108,64.25,315.1875,label
109,74.5,420.25,label
110,81.33333333333333,373.5555555555556,label
