@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1}

@data
0,89,814.365854,cluster1
1,135,3913.25,cluster1
2,121,3017,cluster1
3,125,3158.181818,cluster1
4,122,3621.625,cluster1
5,141,3785.555556,cluster1
6,135,3913.25,cluster1
7,126,3458.2,cluster1
8,126,3458.2,cluster1
9,126,3458.2,cluster1
10,146,3471.571429,cluster1
11,138,3659.333333,cluster1
12,113,3351.6,cluster1
13,112,3108.142857,cluster1
14,126,3458.2,cluster1
15,235,133692.533333,cluster0
16,130,3680.666667,cluster1
17,93,1190.895833,cluster1
18,198,84166.222222,cluster0
19,126,3458.2,cluster1
20,112,3866.5,cluster1
21,114,3060.142857,cluster1
22,126,3458.2,cluster1
23,120,4064.923077,cluster1
24,197,81123.642857,cluster0
25,146,3628,cluster1
26,135,3913.25,cluster1
27,122,3378.090909,cluster1
28,133,3569.363636,cluster1
29,133,3606.181818,cluster1
30,93,1160.25,cluster1
31,103,2768,cluster1
32,94,1175.891304,cluster1
33,127,3389.8,cluster1
34,119,4215.7,cluster1
35,130,3680.666667,cluster1
36,135,3913.25,cluster1
37,94,1228.613636,cluster1
38,116,3385.166667,cluster1
39,93,1160.25,cluster1
40,126,3458.2,cluster1
41,120,3063.833333,cluster1
42,115,2396.5,cluster1
43,189,79320.482759,cluster0
44,137,3465,cluster1
45,115,4064.875,cluster1
46,125,4234,cluster1
47,135,3913.25,cluster1
48,148,3822.4,cluster1
49,126,3458.2,cluster1
50,146,3628,cluster1
51,127,3964.857143,cluster1
52,100,5369.471698,cluster1
53,148,3822.4,cluster1
54,126,3133,cluster1
55,126,3458.2,cluster1
56,130,3240.571429,cluster1
57,148,3822.4,cluster1
58,112,3866.5,cluster1
59,123,4075.285714,cluster1
60,135,3913.25,cluster1
61,182,77845.1,cluster0
62,126,3458.2,cluster1
63,128,3335.583333,cluster1
64,135,3913.25,cluster1
65,125,3767.142857,cluster1
66,146,3628,cluster1
67,115,3569,cluster1
68,114,4382.692308,cluster1
69,135,3913.25,cluster1
70,94,1175.73913,cluster1
71,114,4169.272727,cluster1
72,93,1136.755102,cluster1
73,141,3785.555556,cluster1
74,128,3335.583333,cluster1
75,138,3659.333333,cluster1
76,115,3569,cluster1
77,115,3569,cluster1
78,137,3465,cluster1
79,127,3964.857143,cluster1
80,152,19032.875,cluster1
81,87,519.125,cluster1
82,110,2919.181818,cluster1
83,126,3458.2,cluster1
84,135,3913.25,cluster1
85,94,1228.613636,cluster1
86,94,1228.613636,cluster1
87,112,3165.1,cluster1
88,126,3458.2,cluster1
89,126,3458.2,cluster1
90,116,4522.2,cluster1
91,125,3767.142857,cluster1
92,121,4013.2,cluster1
93,139,3382.375,cluster1
94,121,3017,cluster1
95,138,3659.333333,cluster1
96,135,3913.25,cluster1
97,135,3913.25,cluster1
98,114,3060.142857,cluster1
99,137,3465,cluster1
100,92,1012.045455,cluster1
101,135,3913.25,cluster1
102,104,4541.166667,cluster1
103,203,90092.88,cluster0
104,123,3805.1,cluster1
105,138,3659.333333,cluster1
106,89,772.404762,cluster1
107,135,3913.25,cluster1
108,110,3169.142857,cluster1
109,137,3465,cluster1
110,119,3294.555556,cluster1
111,115,3357.333333,cluster1
112,123,3805.1,cluster1
113,132,10507.625,cluster1
114,146,3471.571429,cluster1
115,109,3374.285714,cluster1
116,142,3359.5,cluster1
117,126,3458.2,cluster1
118,115,3569,cluster1
119,116,4522.2,cluster1
120,132,31882.421687,cluster1
121,146,3471.571429,cluster1
122,137,3465,cluster1
123,95,1395.8125,cluster1
124,112,3866.5,cluster1
125,204,97851.565217,cluster0
126,122,3621.625,cluster1
127,112,3108.142857,cluster1
128,121,3017,cluster1
129,135,3913.25,cluster1
130,148,3822.4,cluster1
131,126,3458.2,cluster1
132,130,3680.666667,cluster1
133,207,93272.041667,cluster0
134,121,3017,cluster1
135,122,3252.909091,cluster1
136,116,4522.2,cluster1
137,135,3913.25,cluster1
138,135,3913.25,cluster1
139,126,3458.2,cluster1
140,119,3688,cluster1
141,125,3128.636364,cluster1
142,120,3063.833333,cluster1
143,123,3684.4,cluster1
144,135,3913.25,cluster1
145,222,109874.2,cluster0
146,110,3169.142857,cluster1
147,138,3480,cluster1
148,135,3913.25,cluster1
149,93,1136.795918,cluster1
150,126,3458.2,cluster1
151,124,4281.142857,cluster1
152,214,105871.857143,cluster0
153,115,2738.285714,cluster1
154,121,4013.2,cluster1
155,94,1201.666667,cluster1
156,137,35710.465753,cluster1
157,126,3458.2,cluster1
158,112,3866.5,cluster1
159,114,4169.272727,cluster1
160,121,4013.2,cluster1
161,128,3938.333333,cluster1
162,135,3913.25,cluster1
163,135,3913.25,cluster1
164,126,3458.2,cluster1
165,93,1210.304348,cluster1
166,142,3905.666667,cluster1
167,102,3271.5,cluster1
168,135,3913.25,cluster1
169,90,758.634146,cluster1
170,131,33691.576923,cluster1
171,92,987.116279,cluster1
172,112,3866.5,cluster1
173,135,3913.25,cluster1
174,130,3960.727273,cluster1
175,94,1228.613636,cluster1
176,139,3593.8,cluster1
177,126,3458.2,cluster1
178,115,4064.875,cluster1
179,117,3050.153846,cluster1
180,122,2951.5,cluster1
181,133,3919.9,cluster1
182,135,41730.762712,cluster1
183,137,3719,cluster1
184,119,4186.8,cluster1
185,127,3964.857143,cluster1
186,130,3240.571429,cluster1
187,141,3785.555556,cluster1
188,135,3913.25,cluster1
189,138,11449.433333,cluster1
190,112,4331.363636,cluster1
191,104,4541.166667,cluster1
192,114,3702,cluster1
193,141,3785.555556,cluster1
194,116,4522.2,cluster1
195,142,3905.666667,cluster1
196,123,3805.1,cluster1
197,126,3458.2,cluster1
198,212,86581.538462,cluster0
199,146,3628,cluster1
200,135,3913.25,cluster1
201,135,3913.25,cluster1
202,118,3730,cluster1
203,138,3480,cluster1
204,114,3935.266667,cluster1
205,136,36126.027778,cluster1
206,91,968,cluster1
207,130,3680.666667,cluster1
208,138,3659.333333,cluster1
209,124,4338,cluster1
210,112,3184.6,cluster1
211,120,3063.833333,cluster1
212,148,3822.4,cluster1
213,95,1480.478261,cluster1
214,146,3471.571429,cluster1
215,135,3913.25,cluster1
216,131,3186,cluster1
217,148,3822.4,cluster1
218,111,3135.857143,cluster1
219,129,3447.083333,cluster1
220,135,3913.25,cluster1
221,135,3913.25,cluster1
222,93,1184.744681,cluster1
223,111,4012,cluster1
224,116,3226.4375,cluster1
225,148,3822.4,cluster1
226,91,999.543478,cluster1
227,138,3659.333333,cluster1
228,146,3471.571429,cluster1
229,210,102481.7,cluster0
230,136,3645.1,cluster1
231,130,3680.666667,cluster1
232,126,4014.285714,cluster1
233,121,3436.375,cluster1
234,135,35553.972603,cluster1
235,92,1012.045455,cluster1
236,137,3465,cluster1
237,124,4338,cluster1
238,138,3659.333333,cluster1
239,115,3569,cluster1
240,89,772.404762,cluster1
241,137,3719,cluster1
242,141,3785.555556,cluster1
243,146,3471.571429,cluster1
244,125,3013,cluster1
245,126,3458.2,cluster1
246,135,3913.25,cluster1
247,131,39217.428571,cluster1
248,115,4064.875,cluster1
249,148,3822.4,cluster1
250,126,3458.2,cluster1
251,125,3767.142857,cluster1
252,135,3913.25,cluster1
253,135,3216.857143,cluster1
254,124,4281.142857,cluster1
255,135,3913.25,cluster1
256,135,3913.25,cluster1
257,127,3964.857143,cluster1
258,122,3621.625,cluster1
259,123,4075.285714,cluster1
260,195,84592.666667,cluster0
261,126,31221.717647,cluster1
262,134,11690.178571,cluster1
263,104,4541.166667,cluster1
264,120,3063.833333,cluster1
265,219,110868.2,cluster0
266,137,3465,cluster1
267,148,3822.4,cluster1
268,109,4571.363636,cluster1
269,135,44419.527273,cluster1
270,145,5889.5,cluster1
271,90,777.6,cluster1
272,146,3628,cluster1
273,89,772.404762,cluster1
274,142,3905.666667,cluster1
275,130,3680.666667,cluster1
276,239,123423.5625,cluster0
277,95,1340.48,cluster1
278,149,43517.254237,cluster1
279,132,3527.888889,cluster1
280,135,3913.25,cluster1
281,110,3091.454545,cluster1
282,121,2801,cluster1
283,104,4541.166667,cluster1
284,129,3840.272727,cluster1
285,147,22522.5,cluster1
286,131,4297.1,cluster1
287,109,2773.375,cluster1
288,130,3240.571429,cluster1
289,117,4356.4,cluster1
290,118,3123.333333,cluster1
291,125,2972.375,cluster1
292,93,1184.744681,cluster1
293,133,10273.117647,cluster1
294,118,3421.25,cluster1
295,130,3210.4,cluster1
296,135,3913.25,cluster1
297,126,3458.2,cluster1
298,121,3030,cluster1
299,131,3758.153846,cluster1
300,126,3458.2,cluster1
301,126,3458.2,cluster1
302,135,3913.25,cluster1
303,103,2950.75,cluster1
304,94,1201.666667,cluster1
305,114,4099.428571,cluster1
306,132,10921.935484,cluster1
307,122,3621.625,cluster1
308,135,3913.25,cluster1
309,115,2882.928571,cluster1
310,132,4425.1,cluster1
311,101,2923.666667,cluster1
312,118,3302,cluster1
313,121,3017,cluster1
314,126,3458.2,cluster1
315,94,1209.333333,cluster1
316,146,3628,cluster1
317,94,1228.613636,cluster1
318,93,1207.723404,cluster1
319,139,3581.5,cluster1
320,126,3638,cluster1
321,89,754.465116,cluster1
322,148,3822.4,cluster1
323,114,3478.888889,cluster1
324,92,964.772727,cluster1
325,121,4397.75,cluster1
326,95,1424.978723,cluster1
327,126,3458.2,cluster1
328,126,3458.2,cluster1
329,128,3339.5,cluster1
330,90,766.372093,cluster1
331,130,3228,cluster1
332,132,31570.202381,cluster1
333,108,2794.5,cluster1
334,127,3365,cluster1
335,90,777.6,cluster1
336,119,3324,cluster1
337,118,2609.2,cluster1
338,135,3913.25,cluster1
339,115,3569,cluster1
340,103,2279.636364,cluster1
341,135,3913.25,cluster1
342,121,3436.375,cluster1
343,100,3443.875,cluster1
344,136,3645.1,cluster1
345,135,3913.25,cluster1
346,135,3913.25,cluster1
347,137,3465,cluster1
348,139,3382.375,cluster1
349,135,3913.25,cluster1
350,123,4075.285714,cluster1
351,93,1233.891304,cluster1
352,135,3913.25,cluster1
353,118,3400,cluster1
354,121,4013.2,cluster1
355,135,3913.25,cluster1
356,119,4215.7,cluster1
357,109,3374.285714,cluster1
358,121,3363.785714,cluster1
359,93,1160.25,cluster1
360,91,999.543478,cluster1
361,208,89512.48,cluster0
362,111,3525.3,cluster1
363,89,720.977778,cluster1
364,117,3152.444444,cluster1
365,116,4522.2,cluster1
366,142,3905.666667,cluster1
367,130,3680.666667,cluster1
368,126,3458.2,cluster1
369,90,766.372093,cluster1
370,135,3913.25,cluster1
371,130,10558.909091,cluster1
372,198,87320.653846,cluster0
373,92,1012.045455,cluster1
374,125,3767.142857,cluster1
375,135,3913.25,cluster1
376,135,3913.25,cluster1
377,130,3240.571429,cluster1
378,137,3465,cluster1
379,89,772.404762,cluster1
380,115,3659,cluster1
381,130,3240.571429,cluster1
382,186,85953.703704,cluster0
383,111,3473.692308,cluster1
384,114,3567.933333,cluster1
385,112,3866.5,cluster1
386,131,4297.1,cluster1
387,97,2508.4,cluster1
388,89,772.404762,cluster1
389,133,3921,cluster1
390,130,9425.85,cluster1
391,123,3684.4,cluster1
392,131,3426.714286,cluster1
393,115,2899,cluster1
394,115,3659,cluster1
395,135,3470.090909,cluster1
396,116,4522.2,cluster1
397,129,4537,cluster1
398,209,97333.086957,cluster0
399,135,3913.25,cluster1
400,116,4522.2,cluster1
401,94,1175.891304,cluster1
402,212,92612.166667,cluster0
403,115,3569,cluster1
404,133,3245.333333,cluster1
405,131,4297.1,cluster1
406,121,2968.25,cluster1
407,109,3374.285714,cluster1
408,146,3628,cluster1
409,113,4887.8,cluster1
410,119,4186.8,cluster1
411,118,3503.5,cluster1
412,94,1228.613636,cluster1
413,92,974.704545,cluster1
414,121,3842.875,cluster1
415,126,3866.428571,cluster1
416,122,3252.909091,cluster1
417,93,1184.744681,cluster1
418,123,3805.1,cluster1
419,142,3905.666667,cluster1
420,146,3471.571429,cluster1
421,138,3659.333333,cluster1
422,126,3458.2,cluster1
423,122,3399.75,cluster1
424,126,3458.2,cluster1
