@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,130,3680.666667,cluster2
1,116,4522.2,cluster2
2,146,3628,cluster2
3,136,3645.1,cluster2
4,95,1326.612245,cluster2
5,130,3680.666667,cluster2
6,130,3680.666667,cluster2
7,93,1160.25,cluster2
8,135,3913.25,cluster2
9,102,1962.075472,cluster2
10,119,3688,cluster2
11,135,3913.25,cluster2
12,135,3913.25,cluster2
13,114,4169.272727,cluster2
14,126,3458.2,cluster2
15,115,3569,cluster2
16,199,84863.185185,cluster1
17,89,772.404762,cluster2
18,91,943.893617,cluster2
19,142,3905.666667,cluster2
20,135,3913.25,cluster2
21,136,3645.1,cluster2
22,135,3913.25,cluster2
23,94,1175.891304,cluster2
24,131,3426.714286,cluster2
25,126,3424.7,cluster2
26,110,3590.692308,cluster2
27,82,680.528302,cluster2
28,116,4522.2,cluster2
29,132,3527.888889,cluster2
30,177,7371,cluster2
31,126,3424.7,cluster2
32,146,3471.571429,cluster2
33,130,3680.666667,cluster2
34,92,999.355556,cluster2
35,120,3549.727273,cluster2
36,197,87361.923077,cluster1
37,111,3855.4,cluster2
38,123,3805.1,cluster2
39,136,3645.1,cluster2
40,135,3913.25,cluster2
41,130,3639,cluster2
42,133,3245.333333,cluster2
43,123,3426.769231,cluster2
44,126,3458.2,cluster2
45,94,1228.613636,cluster2
46,123,3805.1,cluster2
47,148,3822.4,cluster2
48,135,3913.25,cluster2
49,129,4537,cluster2
50,110,3590.692308,cluster2
51,129,9418.631579,cluster2
52,124,4281.142857,cluster2
53,126,3458.2,cluster2
54,125,3767.142857,cluster2
55,131,3426.714286,cluster2
56,124,4338,cluster2
57,139,3382.375,cluster2
58,119,4186.8,cluster2
59,198,99320.173913,cluster1
60,130,3680.666667,cluster2
61,138,3659.333333,cluster2
62,90,1021.136364,cluster2
63,126,3458.2,cluster2
64,135,3913.25,cluster2
65,114,4169.272727,cluster2
66,130,3680.666667,cluster2
67,148,3822.4,cluster2
68,92,1146.186047,cluster2
69,95,1401.122449,cluster2
70,128,3339.5,cluster2
71,94,1347.882353,cluster2
72,121,4013.2,cluster2
73,740,391110.837838,cluster0
74,126,2751.888889,cluster2
75,126,3458.2,cluster2
76,89,772.404762,cluster2
77,139,3382.375,cluster2
78,146,3471.571429,cluster2
