@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,120,3063.833333,cluster2
1,130,3680.666667,cluster1
2,122,4002.583333,cluster2
3,117,3152.444444,cluster2
4,181,86231.333333,cluster0
5,95,1382,cluster3
6,92,1035.488372,cluster3
7,127,3964.857143,cluster1
8,119,2547.6,cluster2
9,93,1160.25,cluster3
10,93,1210.304348,cluster3
11,91,1021.733333,cluster3
12,146,3471.571429,cluster1
13,90,777.6,cluster3
14,122,3621.625,cluster2
15,146,3471.571429,cluster1
16,138,35904.276316,cluster1
17,119,4215.6,cluster2
18,116,3770,cluster2
19,197,94674.583333,cluster0
20,115,3569,cluster2
21,116,4522.2,cluster2
22,112,3866.5,cluster2
23,146,3628,cluster1
24,188,85267.518519,cluster0
25,209,92832.666667,cluster0
26,135,3913.25,cluster1
27,127,3389.8,cluster1
28,135,3913.25,cluster1
29,138,3659.333333,cluster1
30,94,1167.125,cluster3
31,137,3465,cluster1
32,116,4522.2,cluster2
33,121,3984.7,cluster2
34,126,3458.2,cluster2
35,102,3271.5,cluster3
36,89,814.365854,cluster3
37,146,3471.571429,cluster1
38,118,3734.928571,cluster2
39,121,4013.2,cluster2
40,112,3184.6,cluster2
41,103,3729.142857,cluster3
42,127,3964.857143,cluster1
43,126,3458.2,cluster2
44,103,3898.714286,cluster3
45,135,3913.25,cluster1
46,126,3458.2,cluster2
47,107,2955.875,cluster2
48,124,4281.142857,cluster2
49,118,3228.5,cluster2
50,231,114128.631579,cluster0
51,135,3913.25,cluster1
52,93,1210.304348,cluster3
53,111,3135.857143,cluster2
54,195,84093.814815,cluster0
55,125,3158.181818,cluster2
56,114,2560.083333,cluster2
57,116,3481.166667,cluster2
58,93,1184.638298,cluster3
59,203,89986.24,cluster0
60,146,3471.571429,cluster1
61,90,758.634146,cluster3
62,130,3639,cluster1
63,146,3628,cluster1
64,139,3581.5,cluster1
65,92,1192.354167,cluster3
66,94,1201.666667,cluster3
67,131,3186,cluster1
68,92,1214.25,cluster3
69,142,3905.666667,cluster1
70,124,3561.538462,cluster2
71,91,944.333333,cluster3
72,90,758.634146,cluster3
73,127,4049.090909,cluster1
74,90,777.6,cluster3
75,135,3913.25,cluster1
76,135,3913.25,cluster1
77,127,17046.466667,cluster1
78,139,3382.375,cluster1
79,126,3458.2,cluster2
80,112,3866.5,cluster2
81,123,4075.285714,cluster2
82,102,3903.428571,cluster3
83,109,3268.333333,cluster2
84,111,3135.857143,cluster2
85,111,4012,cluster2
86,202,90406.72,cluster0
87,135,3913.25,cluster1
88,124,4338,cluster2
89,121,4013.2,cluster2
90,146,3628,cluster1
91,132,3490.818182,cluster1
92,102,3917,cluster3
93,140,3178.833333,cluster1
94,122,3621.625,cluster2
95,146,3628,cluster1
96,109,5618.901408,cluster2
97,122,3621.625,cluster2
98,94,1228.613636,cluster3
99,123,2267.333333,cluster2
100,124,2906,cluster2
